accident_id,state,city,accident_datetime,year,month,weekday,hour,weather_conditions,road_condition,road_type,vehicle_type,traffic_control_presence,junction_type,lighting_conditions,speed_limit_kmph,driver_age,driver_gender,driver_license_status,alcohol_involvement,number_of_vehicles_involved,number_of_casualties,number_of_fatalities,visibility_km,temperature_c,latitude,longitude,severity,hour_of_day,rush_hour,weekend,night_time,weather_category,visibility_risk,casualty_rate,fatality_flag
IND-ACC-00026,West Bengal,Howrah,2023-12-05 17:17:00,2023,December,Tuesday,17,Cloudy,Dry,Urban Arterial,Car,Police Managed,Roundabout,Street Lights,50,27.0,Male,Invalid,No,1,1,0,5.16,27.1,22.49466,88.29588,Minor,17,1,0,0,Normal,Moderate,1.0,0
IND-ACC-00027,Maharashtra,Nagpur,2022-09-18 19:46:00,2022,September,Sunday,19,Cloudy,Damaged,Urban Arterial,Car,Uncontrolled,Non-Junction,Poor Lighting,30,28.0,Male,Valid,No,3,2,0,4.31,18.8,21.12148,78.97199,Minor,19,1,1,0,Normal,High,0.67,0
IND-ACC-00028,Uttar Pradesh,Lucknow,2023-04-24 05:11:00,2023,April,Monday,5,Clear,Wet,Intersection,Auto-Rickshaw,Signal Present,Non-Junction,Daylight,60,18.0,Male,Invalid,No,2,1,0,6.505,30.3,26.88194,80.96536,Minor,5,0,0,1,Normal,Moderate,0.5,0
IND-ACC-00029,Uttar Pradesh,Varanasi,2020-08-13 21:25:00,2020,August,Thursday,21,Cloudy,Wet,Highway,Auto-Rickshaw,Signal Present,Roundabout,Daylight,60,36.0,Male,Valid,No,2,2,0,8.26,29.3,25.34086,82.96388,Serious,21,0,0,1,Normal,Low,1.0,0
IND-ACC-00030,Uttar Pradesh,Varanasi,2023-06-16 18:40:00,2023,June,Friday,18,Storm,Damaged,Urban Arterial,Two-Wheeler,Signal Present,Roundabout,Street Lights,30,18.0,Male,Valid,Yes,1,1,0,2.44,26.5,25.3029,82.91205,Minor,18,1,0,0,Adverse,Critical,1.0,0
IND-ACC-00031,Karnataka,Hubballi,2022-01-13 09:12:00,2022,January,Thursday,9,Clear,Dry,Urban Arterial,Car,Roundabout,T-Junction,Daylight,50,30.0,Male,Valid,No,3,2,0,8.87,12.3,15.45237,75.14096,Minor,9,1,0,0,Normal,Low,0.67,0
IND-ACC-00032,Kerala,Thiruvananthapuram,2021-01-24 07:42:00,2021,January,Sunday,7,Clear,Dry,Rural Road,Car,Signal Present,Non-Junction,Daylight,50,22.0,Male,Valid,Yes,3,2,0,8.45,27.4,8.47051,76.93729,Minor,7,1,1,0,Normal,Low,0.67,0
IND-ACC-00033,Telangana,Warangal,2021-06-25 10:59:00,2021,June,Friday,10,Cloudy,Dry,Intersection,Two-Wheeler,Signal Present,Non-Junction,Daylight,50,34.0,Male,Valid,No,1,2,0,10.03,36.6,18.04994,79.59482,Minor,10,0,0,0,Normal,Low,2.0,0
IND-ACC-00034,Tamil Nadu,Madurai,2019-09-22 23:30:00,2019,September,Sunday,23,Clear,Dry,Rural Road,Two-Wheeler,Signal Present,Roundabout,No Lighting,40,25.0,Male,Valid,No,2,1,0,7.32,24.2,9.98875,78.18135,Minor,23,0,1,1,Normal,Moderate,0.5,0
IND-ACC-00035,Tamil Nadu,Coimbatore,2021-08-15 16:23:00,2021,August,Sunday,16,Cloudy,Wet,Intersection,Auto-Rickshaw,Stop Sign,Non-Junction,Street Lights,50,27.0,Male,Valid,No,3,1,0,7.01,32.0,11.10307,76.88608,Minor,16,0,1,0,Normal,Moderate,0.33,0
IND-ACC-00036,Uttar Pradesh,Varanasi,2023-09-18 14:22:00,2023,September,Monday,14,Cloudy,Damaged,Intersection,Two-Wheeler,Signal Present,Roundabout,No Lighting,40,54.0,Male,Valid,No,1,1,0,6.57,34.7,25.33953,83.16463,Minor,14,0,0,0,Normal,Moderate,1.0,0
IND-ACC-00037,Delhi,Dwarka,2021-05-16 13:56:00,2021,May,Sunday,13,Clear,Dry,Highway,Car,Signal Present,Non-Junction,Street Lights,30,33.0,Female,Valid,No,3,1,0,8.25,29.9,28.5893,77.06273,Minor,13,0,1,0,Normal,Low,0.33,0
IND-ACC-00038,Uttar Pradesh,Lucknow,2022-12-19 06:29:00,2022,December,Monday,6,Clear,Dry,Intersection,Auto-Rickshaw,Roundabout,Roundabout,No Lighting,40,47.0,Female,Valid,Yes,2,1,0,2.92,19.8,26.84901,80.9275,Minor,6,0,0,0,Normal,High,0.5,0
IND-ACC-00039,Telangana,Warangal,2022-08-20 10:17:00,2022,August,Saturday,10,Clear,Damaged,Intersection,Car,Roundabout,Roundabout,Daylight,80,25.0,Male,Valid,No,2,2,0,5.19,31.8,17.91112,79.62586,Minor,10,0,1,0,Normal,Moderate,1.0,0
IND-ACC-00040,Tamil Nadu,Chennai,2019-03-01 19:56:00,2019,March,Friday,19,Cloudy,Dry,Highway,Two-Wheeler,Uncontrolled,Non-Junction,Daylight,50,52.0,Male,Invalid,No,1,1,0,4.08,30.7,13.0954,80.32388,Minor,19,1,0,0,Normal,High,1.0,0
IND-ACC-00041,West Bengal,Kolkata,2020-06-15 07:31:00,2020,June,Monday,7,Heat,Damaged,Intersection,Two-Wheeler,Signal Present,Non-Junction,No Lighting,80,58.0,Male,Valid,No,3,2,0,9.9,32.5,22.57046,88.28202,Minor,7,1,0,0,Normal,Low,0.67,0
IND-ACC-00042,Karnataka,Hubballi,2021-01-22 07:07:00,2021,January,Friday,7,Rain,Dry,Rural Road,Two-Wheeler,Uncontrolled,Cross Junction,Daylight,100,18.0,Male,Valid,No,1,2,0,7.29,23.4,15.34654,75.09503,Minor,7,1,0,0,Adverse,Moderate,2.0,0
IND-ACC-00043,Karnataka,Mysuru,2020-12-20 11:44:00,2020,December,Sunday,11,Rain,Wet,Residential,Auto-Rickshaw,Stop Sign,Non-Junction,Street Lights,40,37.0,Male,Valid,No,2,1,0,8.09,23.4,12.26576,76.54009,Minor,11,0,1,0,Adverse,Low,0.5,0
IND-ACC-00044,Tamil Nadu,Madurai,2018-09-24 07:16:00,2018,September,Monday,7,Clear,Wet,Rural Road,Car,Uncontrolled,Roundabout,Street Lights,60,45.0,Male,Valid,No,4,2,0,6.59,32.8,9.98437,78.08633,Minor,7,1,0,0,Normal,Moderate,0.5,0
IND-ACC-00045,Kerala,Kozhikode,2020-11-24 13:32:00,2020,November,Tuesday,13,Rain,Dry,Urban Arterial,Auto-Rickshaw,Roundabout,Roundabout,Poor Lighting,80,60.0,Male,Valid,No,2,1,0,6.81,27.6,11.24958,75.86764,Minor,13,0,0,0,Adverse,Moderate,0.5,0
IND-ACC-00046,Gujarat,Ahmedabad,2019-11-10 09:00:00,2019,November,Sunday,9,Cloudy,Damaged,Urban Arterial,Bus,Signal Present,Roundabout,Daylight,50,64.0,Male,Valid,No,4,1,0,7.01,24.4,23.02912,72.5469,Minor,9,1,1,0,Normal,Moderate,0.25,0
IND-ACC-00047,Maharashtra,Nagpur,2019-10-05 15:25:00,2019,October,Saturday,15,Rain,Wet,Residential,Auto-Rickshaw,Roundabout,Non-Junction,Street Lights,40,46.0,Male,Invalid,Yes,2,2,0,6.34,22.8,21.09812,79.16641,Minor,15,0,1,0,Adverse,Moderate,1.0,0
IND-ACC-00048,Karnataka,Bengaluru,2023-09-05 19:29:00,2023,September,Tuesday,19,Clear,Under Construction,Urban Arterial,Car,Uncontrolled,Non-Junction,Daylight,80,31.0,Male,Valid,No,2,2,0,6.29,26.1,12.95582,77.55345,Minor,19,1,0,0,Normal,Moderate,1.0,0
IND-ACC-00049,Maharashtra,Pune,2022-05-16 17:15:00,2022,May,Monday,17,Rain,Damaged,Highway,Two-Wheeler,Signal Present,Cross Junction,Daylight,40,45.0,Male,Valid,No,3,1,0,8.52,27.8,18.52704,73.85678,Minor,17,1,0,0,Adverse,Low,0.33,0
IND-ACC-00050,Kerala,Kozhikode,2019-11-17 16:13:00,2019,November,Sunday,16,Clear,Damaged,Residential,Two-Wheeler,Police Managed,Non-Junction,Street Lights,50,32.0,Male,Valid,No,2,1,0,3.14,23.1,11.28385,75.70117,Minor,16,0,1,0,Normal,High,0.5,0
IND-ACC-00051,Delhi,Dwarka,2018-09-10 08:00:00,2018,September,Monday,8,Storm,Wet,Urban Arterial,Auto-Rickshaw,Uncontrolled,Roundabout,Daylight,60,20.0,Male,Valid,No,3,1,0,2.08,28.2,28.55307,77.00555,Minor,8,1,0,0,Adverse,Critical,0.33,0
IND-ACC-00052,Karnataka,Bengaluru,2020-01-10 16:15:00,2020,January,Friday,16,Clear,Under Construction,Rural Road,Car,Signal Present,Cross Junction,Daylight,60,48.0,Male,Expired,No,2,3,0,4.61,23.0,13.00517,77.62857,Minor,16,0,0,0,Normal,High,1.5,0
IND-ACC-00053,Tamil Nadu,Madurai,2021-12-15 22:29:00,2021,December,Wednesday,22,Clear,Dry,Residential,Car,Signal Present,Non-Junction,Daylight,50,28.0,Male,Valid,No,2,1,0,5.63,19.1,9.98324,78.21081,Minor,22,0,0,1,Normal,Moderate,0.5,0
IND-ACC-00054,Uttar Pradesh,Lucknow,2021-08-10 10:19:00,2021,August,Tuesday,10,Clear,Dry,Urban Arterial,Truck,Stop Sign,T-Junction,Daylight,80,41.0,Male,Valid,No,2,3,0,9.73,33.5,26.80928,80.9476,Minor,10,0,0,0,Normal,Low,1.5,0
IND-ACC-00055,Maharashtra,Nagpur,2021-09-03 17:01:00,2021,September,Friday,17,Cloudy,Dry,Highway,Car,Police Managed,Roundabout,Daylight,40,29.0,Male,Valid,No,3,2,0,7.04,31.2,21.07635,79.03028,Minor,17,1,0,0,Normal,Moderate,0.67,0
IND-ACC-00056,Telangana,Warangal,2018-05-11 13:48:00,2018,May,Friday,13,Rain,Slippery,Residential,Two-Wheeler,Stop Sign,Non-Junction,Daylight,40,40.0,Male,Expired,Yes,3,1,0,7.29,27.4,17.93525,79.59277,Minor,13,0,0,0,Adverse,Moderate,0.33,0
IND-ACC-00057,West Bengal,Kolkata,2021-01-26 08:31:00,2021,January,Tuesday,8,Clear,Dry,Highway,Car,Roundabout,Y-Junction,Daylight,60,63.0,Female,Valid,No,2,3,0,7.4,25.7,22.71119,88.38351,Minor,8,1,0,0,Normal,Moderate,1.5,0
IND-ACC-00058,Rajasthan,Jodhpur,2023-04-11 20:02:00,2023,April,Tuesday,20,Cloudy,Dry,Urban Arterial,Bus,Signal Present,Roundabout,Street Lights,50,44.0,Male,Valid,No,4,1,0,5.7,36.4,26.31364,73.08188,Minor,20,0,0,1,Normal,Moderate,0.25,0
IND-ACC-00059,Gujarat,Ahmedabad,2023-12-10 06:56:00,2023,December,Sunday,6,Cloudy,Wet,Residential,Auto-Rickshaw,Roundabout,T-Junction,Street Lights,50,35.0,Male,Valid,Yes,1,2,0,7.21,19.5,22.98995,72.59913,Minor,6,0,1,0,Normal,Moderate,2.0,0
IND-ACC-00060,Tamil Nadu,Chennai,2019-12-11 20:30:00,2019,December,Wednesday,20,Heat,Dry,Urban Arterial,Car,Signal Present,T-Junction,Daylight,60,39.0,Female,Valid,No,3,1,0,3.21,30.8,13.21646,80.33043,Minor,20,0,0,1,Normal,High,0.33,0
IND-ACC-00061,Kerala,Kozhikode,2022-05-04 07:32:00,2022,May,Wednesday,7,Clear,Wet,Intersection,Two-Wheeler,Signal Present,Non-Junction,Poor Lighting,30,18.0,Female,Valid,No,2,1,0,5.58,22.8,11.21892,75.80204,Minor,7,1,0,0,Normal,Moderate,0.5,0
IND-ACC-00062,Delhi,New Delhi,2022-03-17 22:03:00,2022,March,Thursday,22,Rain,Under Construction,Highway,Car,Police Managed,Y-Junction,Street Lights,80,34.0,Male,Valid,No,2,1,0,8.52,27.2,28.67321,77.21142,Minor,22,0,0,1,Adverse,Low,0.5,0
IND-ACC-00063,Rajasthan,Jodhpur,2019-06-17 06:44:00,2019,June,Monday,6,Clear,Wet,Intersection,Auto-Rickshaw,Signal Present,Roundabout,Daylight,40,40.0,Male,Valid,No,3,1,0,6.43,30.9,26.2586,73.03502,Minor,6,0,0,0,Normal,Moderate,0.33,0
IND-ACC-00064,Karnataka,Mysuru,2021-02-23 05:42:00,2021,February,Tuesday,5,Rain,Damaged,Intersection,Bus,Stop Sign,Non-Junction,Poor Lighting,50,39.0,Male,Valid,No,2,1,0,10.69,23.5,12.34954,76.51955,Minor,5,0,0,1,Adverse,Low,0.5,0
IND-ACC-00065,Tamil Nadu,Coimbatore,2023-10-10 16:29:00,2023,October,Tuesday,16,Cloudy,Slippery,Residential,Auto-Rickshaw,Roundabout,T-Junction,Poor Lighting,50,40.0,Male,Valid,No,2,1,0,8.56,25.6,11.06175,76.85456,Minor,16,0,0,0,Normal,Low,0.5,0
IND-ACC-00066,Kerala,Kozhikode,2023-11-05 11:18:00,2023,November,Sunday,11,Clear,Wet,Rural Road,Two-Wheeler,Uncontrolled,Non-Junction,Daylight,100,29.0,Male,Valid,No,3,1,0,4.97,28.9,11.23528,75.7888,Minor,11,0,1,0,Normal,High,0.33,0
IND-ACC-00067,West Bengal,Durgapur,2019-10-26 21:16:00,2019,October,Saturday,21,Clear,Dry,Highway,Two-Wheeler,Police Managed,Non-Junction,Poor Lighting,30,45.0,Male,Valid,Yes,4,1,0,9.0,28.4,23.51324,87.21465,Minor,21,0,1,1,Normal,Low,0.25,0
IND-ACC-00068,Karnataka,Bengaluru,2019-03-16 13:24:00,2019,March,Saturday,13,Cloudy,Wet,Intersection,Auto-Rickshaw,Stop Sign,Roundabout,Daylight,60,46.0,Male,Valid,No,2,2,0,5.84,32.2,12.95854,77.57157,Minor,13,0,1,0,Normal,Moderate,1.0,0
IND-ACC-00069,Tamil Nadu,Coimbatore,2019-04-08 21:08:00,2019,April,Monday,21,Clear,Dry,Rural Road,Two-Wheeler,Signal Present,Cross Junction,Daylight,80,46.0,Male,Valid,No,3,2,0,7.29,38.1,11.02556,76.95478,Minor,21,0,0,1,Normal,Moderate,0.67,0
IND-ACC-00070,Gujarat,Ahmedabad,2022-12-27 19:26:00,2022,December,Tuesday,19,Rain,Damaged,Intersection,Truck,Signal Present,Non-Junction,Daylight,60,32.0,Male,Valid,No,3,1,0,9.17,25.0,22.92847,72.59471,Minor,19,1,0,0,Adverse,Low,0.33,0
IND-ACC-00071,Kerala,Kochi,2023-09-05 10:59:00,2023,September,Tuesday,10,Rain,Dry,Rural Road,Car,Stop Sign,Non-Junction,Poor Lighting,100,35.0,Male,Valid,No,2,2,0,3.11,32.8,9.91436,76.17726,Minor,10,0,0,0,Adverse,High,1.0,0
IND-ACC-00072,Rajasthan,Jaipur,2021-07-13 10:03:00,2021,July,Tuesday,10,Cloudy,Dry,Highway,Auto-Rickshaw,Signal Present,Non-Junction,Poor Lighting,80,20.0,Male,Valid,No,2,4,0,11.49,25.4,26.8828,75.79579,Serious,10,0,0,0,Normal,Low,2.0,0
IND-ACC-00073,Rajasthan,Udaipur,2021-07-04 16:26:00,2021,July,Sunday,16,Clear,Under Construction,Intersection,Two-Wheeler,Uncontrolled,Roundabout,Daylight,50,40.0,Female,Learner,Yes,2,1,0,3.56,29.5,24.59126,73.65607,Minor,16,0,1,0,Normal,High,0.5,0
IND-ACC-00074,Delhi,New Delhi,2022-10-12 16:52:00,2022,October,Wednesday,16,Rain,Wet,Highway,Two-Wheeler,Uncontrolled,Y-Junction,Daylight,40,39.0,Male,Valid,No,2,1,0,4.87,26.8,28.66747,77.16253,Minor,16,0,0,0,Adverse,High,0.5,0
IND-ACC-00075,Telangana,Hyderabad,2021-04-07 15:17:00,2021,April,Wednesday,15,Rain,Wet,Residential,Car,Uncontrolled,Cross Junction,Street Lights,50,20.0,Male,Valid,No,2,1,0,12.0,29.3,17.48737,78.55387,Minor,15,0,0,0,Adverse,Low,0.5,0
IND-ACC-00076,Kerala,Kozhikode,2021-06-18 17:36:00,2021,June,Friday,17,Clear,Dry,Highway,Auto-Rickshaw,Uncontrolled,Roundabout,Daylight,40,18.0,Male,Valid,No,1,1,0,5.87,24.0,11.24992,75.74659,Minor,17,1,0,0,Normal,Moderate,1.0,0
IND-ACC-00077,Tamil Nadu,Coimbatore,2020-08-11 11:38:00,2020,August,Tuesday,11,Cloudy,Dry,Rural Road,Two-Wheeler,Police Managed,Roundabout,Poor Lighting,40,35.0,Male,Valid,No,2,2,0,8.46,32.8,11.06295,77.0291,Minor,11,0,0,0,Normal,Low,1.0,0
IND-ACC-00078,Delhi,Rohini,2020-10-26 22:26:00,2020,October,Monday,22,Heat,Under Construction,Intersection,Two-Wheeler,Signal Present,T-Junction,Street Lights,50,50.0,Male,Valid,No,2,1,0,6.52,32.3,28.62724,77.05846,Minor,22,0,0,1,Normal,Moderate,0.5,0
IND-ACC-00079,Delhi,New Delhi,2020-01-04 16:10:00,2020,January,Saturday,16,Clear,Dry,Urban Arterial,Two-Wheeler,Signal Present,Non-Junction,Poor Lighting,50,49.0,Male,Valid,No,3,1,0,6.83,23.2,28.62803,77.26132,Minor,16,0,1,0,Normal,Moderate,0.33,0
IND-ACC-00080,West Bengal,Kolkata,2021-09-26 13:57:00,2021,September,Sunday,13,Clear,Dry,Highway,Car,Signal Present,Cross Junction,Daylight,60,22.0,Male,Valid,No,3,1,0,7.64,33.9,22.44324,88.34792,Minor,13,0,1,0,Normal,Moderate,0.33,0
IND-ACC-00081,Tamil Nadu,Coimbatore,2020-06-03 18:10:00,2020,June,Wednesday,18,Heat,Dry,Rural Road,Car,Roundabout,Non-Junction,No Lighting,80,25.0,Male,Invalid,Yes,2,1,0,0.5,37.5,11.07832,76.93676,Minor,18,1,0,0,Normal,Critical,0.5,0
IND-ACC-00082,Rajasthan,Udaipur,2022-01-05 13:50:00,2022,January,Wednesday,13,Rain,Dry,Rural Road,Truck,Stop Sign,Non-Junction,Daylight,60,19.0,Male,Learner,No,3,3,0,4.06,31.75,24.59109,73.63883,Minor,13,0,0,0,Adverse,High,1.0,0
IND-ACC-00083,Kerala,Thiruvananthapuram,2018-02-19 09:40:00,2018,February,Monday,9,Clear,Dry,Intersection,Two-Wheeler,Signal Present,T-Junction,Poor Lighting,100,30.0,Male,Valid,No,1,2,0,5.15,24.0,8.55321,76.9509,Minor,9,1,0,0,Normal,Moderate,2.0,0
IND-ACC-00084,Maharashtra,Mumbai,2020-06-15 08:31:00,2020,June,Monday,8,Clear,Wet,Highway,Truck,Signal Present,Non-Junction,Daylight,80,34.0,Male,Valid,No,2,2,0,5.89,30.8,18.99439,72.90114,Serious,8,1,0,0,Normal,Moderate,1.0,0
IND-ACC-00085,Kerala,Kochi,2021-01-07 09:45:00,2021,January,Thursday,9,Cloudy,Wet,Rural Road,Auto-Rickshaw,Signal Present,T-Junction,Daylight,100,32.0,Male,Valid,No,2,2,0,7.81,18.2,9.93059,76.36271,Serious,9,1,0,0,Normal,Moderate,1.0,0
IND-ACC-00086,Tamil Nadu,Madurai,2018-07-15 20:25:00,2018,July,Sunday,20,Rain,Slippery,Urban Arterial,Two-Wheeler,Roundabout,Non-Junction,Daylight,50,48.0,Male,Valid,No,2,2,0,5.67,31.4,9.98499,78.06018,Minor,20,0,1,1,Adverse,Moderate,1.0,0
IND-ACC-00087,Tamil Nadu,Coimbatore,2020-05-09 13:43:00,2020,May,Saturday,13,Clear,Under Construction,Residential,Car,Roundabout,Non-Junction,Daylight,40,38.0,Male,Valid,No,3,3,0,2.7,33.7,11.12014,76.97217,Minor,13,0,1,0,Normal,High,1.0,0
IND-ACC-00088,Delhi,Rohini,2019-07-13 01:36:00,2019,July,Saturday,1,Heat,Dry,Urban Arterial,Car,Signal Present,Non-Junction,Daylight,50,34.0,Male,Valid,No,2,2,0,7.36,32.1,28.81084,77.10312,Minor,1,0,1,1,Normal,Moderate,1.0,0
